Number,Gender,GivenName,Surname,StreetAddress,City,Birthday,Age,CCType,CCNumber,CVV2,CCExpires
1,male,Martin,Fisher,"Inge Beisheim Platz 50",Barmstedt,11/20/1992,26,Visa,4485366946196285,646,10/2022
2,female,Karolin,Schiffer,"Grosse Praesidenten Str. 51",Gundelsheim,3/12/1952,67,Visa,4916343740398804,374,7/2020
3,male,Stephan,Eggers,"Ellmenreichstrasse 5",Obertrubach,11/24/1999,19,Visa,4485006047825446,117,9/2021
4,male,Lukas,Goldschmidt,"Alsterkrugchaussee 59",Megesheim,6/5/1977,41,Visa,4539052347440276,544,2/2022
5,female,Ursula,Weissmuller,"Meinekestraße 44",Seeburg,11/29/1964,54,MasterCard,5212374366208215,771,4/2023
6,female,Leah,Boehm,"Hardenbergstraße 58",Frohnhofen,1/30/1995,24,Visa,4485904517761945,115,6/2021
7,female,Anke,Fleischer,"Inge Beisheim Platz 10",Tornesch,5/11/1964,54,Visa,4485197902658343,410,5/2021
8,male,David,Dresdner,"Invalidenstrasse 37",Frankenstein,12/15/1969,49,Visa,4916955841336217,498,12/2024
9,male,Kristian,Dresdner,"Mollstrasse 73","Mainz Weisenau",10/18/1971,47,MasterCard,5271345275507796,142,4/2024
10,female,Karolin,Walter,"Prenzlauer Allee 28",Leipzig,6/1/1977,41,MasterCard,5437649148036409,585,9/2023
11,female,Lisa,Strauss,"Hollander Strasse 7",Hüttenberg,7/24/1973,45,Visa,4539890701763811,474,9/2021
12,male,Maik,Egger,"Jahnstrasse 78",Ebersberg,7/17/1981,37,Visa,4539046516387524,162,10/2021
13,male,Benjamin,Friedman,"Mohrenstrasse 54",Egesheim,5/15/1962,56,Visa,4716018274854396,654,5/2021
14,female,Andrea,Theissen,"Gotzkowskystrasse 35",Busenhausen,6/22/1981,37,Visa,4532367799458098,589,5/2024
15,male,Phillipp,Baecker,"Los-Angeles-Platz 73",Norderstedt,4/21/1987,31,MasterCard,5162169896351125,540,3/2022
16,male,Frank,Eichmann,"Alt-Moabit 52",Brandenburg,7/6/1957,61,MasterCard,5465550695501636,700,7/2024
17,male,Peter,Weiß,"Rudolstaedter Strasse 46",Alzenau,9/24/1992,26,MasterCard,5536174480659718,990,10/2020
18,male,Thomas,Schmitz,"Paul-Nevermann-Platz 9",Aura,8/8/1977,41,MasterCard,5421084307790695,237,7/2021
19,female,Christina,Fuchs,"Luebeckertordamm 55",Dietersheim,9/30/1972,46,MasterCard,5439393747653227,227,2/2022
20,female,Heike,Hofmann,"Inge Beisheim Platz 54",Elmshorn,4/26/1980,38,Visa,4485080490567870,259,1/2021
21,male,Lucas,Zimmer,"Prenzlauer Allee 88",Leipzig,8/9/1989,29,Visa,4539417051036893,767,12/2020
22,female,Katja,Weisz,"Kastanienallee 61",Garding,9/2/1955,63,Visa,4916826280476303,469,5/2021
23,female,Monika,Baecker,"Pasewalker Straße 35",Baden-Baden,4/7/1954,64,Visa,4716079510830343,251,8/2020
24,female,Heike,Meier,"Ollenhauer Str. 50","Stuttgart Zazenhausen",8/15/1978,40,Visa,4556736444245442,556,9/2021
25,female,Ulrike,Strauss,"Spresstrasse 11","Bielefeld Innenstadt",7/6/1999,19,MasterCard,5544628118799865,407,2/2024
26,female,Mandy,Koertig,"Stresemannstr. 74",Beckingen,1/24/1965,54,MasterCard,5106292721699564,201,2/2022
27,female,Christina,Walter,"Neuer Jungfernstieg 13",Geisenhausen,4/29/1983,35,Visa,4556088206119831,802,10/2020
28,male,Dennis,Koch,"Brandenburgische Str 93",Meckenbach,7/12/1978,40,MasterCard,5226128831343542,870,1/2020
29,female,Ute,Wulf,"Schönwalder Allee 34",Westerrönfeld,4/4/1987,32,MasterCard,5150014343460463,356,7/2020
30,male,Peter,Bader,"Bayreuther Strasse 88","Kaiserslautern Innenstadt",10/29/1967,51,MasterCard,5376287170925190,523,12/2021
31,male,Jonas,Eisenberg,"Heinrich Heine Platz 74",Zittau,2/11/1954,65,MasterCard,5241369479799063,406,5/2022
32,female,Lea,Weber,"Heinrich Heine Platz 97",Friedersdorf,11/17/1987,31,MasterCard,5574698052829195,387,5/2021
33,male,Lucas,Kappel,"Knesebeckstrasse 53",Urbach,5/11/1992,26,MasterCard,5333384534104133,530,5/2020
34,male,Jens,Glockner,"Potsdamer Platz 71","Markt Rettenbach",10/4/1983,35,Visa,4929854244796058,809,9/2024
35,female,Nadine,Friedman,"Ufnau Strasse 14",Kellmünz,6/28/1957,61,MasterCard,5267752363477038,518,11/2020
36,male,Jörg,Daecher,"Luckenwalder Strasse 81",Hildesheim,10/22/1977,41,Visa,4556845022729584,488,9/2020
37,female,Sabine,Herz,"Rohrdamm 84",Höfer,4/7/1973,45,MasterCard,5233009895402062,803,7/2020
38,female,Stefanie,Faerber,"Messedamm 53",Halle,4/22/1987,31,MasterCard,5294120084621978,252,10/2023
39,male,Phillipp,Beike,"Lange Strasse 38",München,1/31/1953,66,MasterCard,5218493383617598,001,11/2024
